nClusters,init,nInit,inertia,silhouetteScore,adjustedRandIndex,maxClusterFraudRate
10,random,10,7680.343520007353,0.8058660888873481,0.00027201867272625996,0.010309278350515464
10,k-means++,10,7602.277550696689,0.7995211367889778,0.00029329323371114915,0.058823529411764705
8,random,10,11503.565109895559,0.789867878413768,0.0003336915823581904,0.00487012987012987
8,k-means++,10,11503.565109895559,0.789867878413768,0.0003336915823581904,0.00487012987012987
6,random,10,24646.72748775084,0.7269924161501867,0.0004057566984959854,0.006211180124223602
6,k-means++,10,24646.72748775084,0.7269924161501867,0.0004057566984959854,0.006211180124223602
5,random,10,34019.90811854953,0.7167645474443531,0.00040398403517544906,0.006172839506172839
5,k-means++,10,32795.44546433223,0.7033966348258514,0.0004420651764899499,0.006211180124223602
4,random,10,42168.626095130916,0.693289880535079,0.00044027468317132235,0.006172839506172839
4,k-means++,10,42168.626095130916,0.693289880535079,0.00044027468317132235,0.006172839506172839
3,k-means++,10,52276.40172978996,0.5846806839118253,-0.0003694809937733357,0.0026642984014209592
3,random,10,52245.17069286738,0.5683827679278128,-0.0004095051952972169,0.0026223776223776225
2,k-means++,10,65030.224355167666,0.46104428132266406,-0.0009792760586008816,0.0014488087572440437
2,random,10,65030.224355167666,0.46104428132266406,-0.0009792760586008816,0.0014488087572440437
